ds,yhat,yhat_lower,yhat_upper
2021-05-05,776816.6864612313,673534.3683006853,875850.4910805714
2021-05-06,779186.1967984147,671326.6289179514,881632.9273380049
2021-05-07,780115.5212630597,682201.8964723244,877449.1489846547
2021-05-08,780796.9774495394,679572.1152640051,877419.8606906211
2021-05-09,780197.0651903984,682870.4565382125,879964.9494014403
2021-05-10,778844.0540641608,683005.9138640065,880918.3399719041
2021-05-11,776653.794992594,673425.3378647728,880188.0027697379
2021-05-12,773947.2567777383,672547.3580420435,870276.8667009578
2021-05-13,770725.3461577983,680598.4773318649,864743.2689191964
2021-05-14,766702.7146808406,661055.5770902465,864165.9154782958
2021-05-15,745241.188231317,642346.2386908279,847956.7961766794
2021-05-16,723829.6865572834,630164.4957006649,828619.126905413
2021-05-17,703054.6043151487,606055.8768094,807987.3331726848
2021-05-18,682828.4988447711,582987.015795854,781470.0898167897
2021-05-19,663431.1654183322,570066.1361563454,755652.6295647555
2021-05-20,644796.9456199256,545876.8382490354,743021.5607090966
2021-05-21,626587.5762579776,528226.9550452158,721521.5473155061
2021-05-22,609931.3056155056,512717.1464023693,708717.6153571091
2021-05-23,593772.7238340648,489418.6553390816,701398.629274928
2021-05-24,578515.4157226644,480347.7170959957,667358.8923193911
2021-05-25,563960.1909590582,459137.54024979763,664993.2099446843
2021-05-26,550241.4469281859,458308.9452507726,655296.6451490005
2021-05-27,537193.6834129619,435666.1895167116,632708.2012517336
2021-05-28,524421.7944346768,421854.0035860829,632568.2070341434
2021-05-29,512845.5297581567,419291.5054533907,609282.0005035889
2021-05-30,501462.45160559495,398527.51600870484,597997.2691874187
2021-05-31,490580.60768475867,379634.81017809385,592310.2276508546
2021-06-01,479991.3707386568,383442.9183153633,575077.5114418913
2021-06-02,469796.67467143544,372640.20527788054,568866.3242789878
2021-06-03,459850.19186607946,351659.56279324746,561399.1461409224
2021-06-04,449820.54976924823,354393.6908857323,550415.6385295881
2021-06-05,440536.7933886937,342519.25072504714,536603.2175702977
2021-06-06,431160.4353630512,339423.9790701602,525494.6733814103
2021-06-07,422004.54972485226,323132.9116029806,519979.1068673843
2021-06-08,412938.1583271042,311179.7236061621,516392.9183532108
2021-06-09,404101.89684023854,305006.34652917064,501866.3389352967
