ds,yhat,yhat_lower,yhat_upper,Country
2020-08-10,57937.12165443678,50809.402783449135,65682.42309460911,India
2020-08-11,58262.06224506746,51268.91799509165,65723.32824613238,India
2020-08-12,58686.862426897256,51197.74195744234,66186.18295152277,India
2020-08-13,59042.6024004386,51068.98645156064,66565.77916726196,India
2020-08-14,59349.43513183059,52496.767550397875,67150.93202892042,India
2020-08-15,59944.824655849785,51882.50970893319,67632.41885243669,India
2020-08-16,60512.449483547985,52429.54129230506,68090.25569475016,India
2020-08-17,61103.621843088666,54039.796630426026,68803.451667327,India
2020-08-18,61712.7276438236,54402.10770854317,69644.53353933904,India
2020-08-19,62501.4046598497,55021.78699642555,70281.41510992458,India
2020-08-20,63267.0906741934,55563.25822318096,70402.74480328069,India
2020-08-21,64021.42224614358,56563.86041089926,71946.07728651211,India
2020-08-22,65132.65158138494,57587.17331116513,73099.14450123733,India
2020-08-23,66230.12410521788,58202.82548928462,73793.57438610503,India
2020-08-24,67358.57987553414,59426.334026771,74705.20148712743,India
2020-08-25,68498.62034837595,61017.581807863346,75393.42263617244,India
2020-08-26,69818.33336131295,61988.662149382275,77478.43331502077,India
2020-08-27,71078.57509909474,64229.56303404956,78951.05682982132,India
2020-08-28,72281.43680067985,64719.45604776715,79671.27302666246,India
2020-08-29,73674.2131425853,66118.56950990646,81197.23248623706,India
2020-08-30,74985.6031825434,67502.96076837475,82295.37194912188,India
2020-08-31,76258.47540694434,68803.58494371228,83578.10357418915,India
2020-09-01,77466.10115934783,70342.51880777914,84719.11993316324,India
2020-09-02,78788.97234945383,71203.87843959434,86528.35861683272,India
2020-09-03,79962.31106576823,72444.39920643794,87966.70325613825,India
2020-09-04,80988.80167476872,73349.51994157012,88777.87925153544,India
2020-09-05,82304.09042850975,74902.1690635231,89923.35306062378,India
2020-09-06,83450.78566561626,75897.03838451483,91172.53560110505,India
2020-09-07,84479.55818002389,76888.51086044677,92457.69520799296,India
2020-09-08,85366.55785378914,78313.06090096089,93375.06195577598,India
2020-09-09,86313.35086646654,78244.04652190855,93522.40332765186,India
2020-09-10,87039.79191069276,79026.5362572862,94974.96222768472,India
2020-09-11,87556.41143185287,79538.9971652617,95006.93656256555,India
2020-09-12,88341.67350045036,80578.02233717236,95635.6718909159,India
2020-09-13,88908.92026167511,81227.47408537455,96821.59779336353,India
2020-09-14,89320.96173763549,81840.10182577517,96982.12510090634,India
2020-09-15,89559.97744125723,82157.98772796213,96812.22991300625,India
2020-09-16,89850.60524276279,82009.2648498569,97628.94722100702,India
2020-09-17,89898.24480343262,82373.74486344522,97089.94684601118,India
2020-09-18,89721.2006125844,82121.89084499284,98076.32874316143,India
2020-09-19,89839.82529012632,81889.4989802171,97382.09158654948,India
2020-09-20,89736.55552726425,81797.98423744531,97578.01264099356,India
2020-09-21,89484.15156409968,82177.15857970355,97820.04916240976,India
2020-09-22,89068.2495799215,81152.46549443738,96431.06091482074,India
2020-09-23,88733.76604259187,80973.90521705971,96717.07078939791,India
2020-09-24,88168.78691734216,80964.9332676683,95172.23724550859,India
2020-09-25,87396.60500234495,79663.49095480419,95000.86871074198,India
2020-09-26,86976.86511098535,79073.01732882248,94583.16456897829,India
2020-09-27,86358.78094097564,79406.38023160966,93577.93741520181,India
2020-09-28,85623.08294097945,77767.96576205784,93167.00160009263,India
2020-09-29,84757.24716642969,76914.95648860352,92293.14816788447,India
2020-09-30,84025.20700256314,76065.19233391782,91402.81685219059,India
2020-10-01,83096.78704380742,75217.77644802062,90611.5539418969,India
2020-10-02,81999.56300498916,74141.14078773056,89482.26672948328,India
2020-10-03,81331.91032039409,73635.68878911441,88688.01218485026,India
2020-10-04,80509.28198916792,72552.77242843808,88625.85975394759,India
2020-10-05,78508.5889656117,70827.8461506095,86022.81422363517,India
2020-10-06,76474.93527076261,69086.31134006467,84273.44902147581,India
2020-10-07,74680.46609330495,66672.89238429938,82230.47054344311,India
2020-10-08,72784.79114964107,65733.12272038353,80421.44501350369,India
2020-10-09,70820.13405505756,63080.981840417044,78520.08316874724,India
2020-10-10,69373.01079965953,61747.226414276745,76631.19455832016,India
2020-10-11,67858.35041240274,59998.00827033651,75540.39419670355,India
2020-10-12,66360.42232120999,58428.092243105944,74281.54048803802,India
2020-10-13,64864.70730902601,56786.713296737384,72294.27206586393,India
2020-10-14,63626.676029621354,56470.67661226033,71139.99658272993,India
2020-10-15,62312.40152372065,54373.33991318858,70013.099567704,India
2020-10-16,60945.54806284909,53133.56197689793,68252.08517681714,India
2020-10-17,60081.54617934136,52443.272375600776,67139.93654119215,India
2020-10-18,59150.21068698021,51468.74846877347,66700.24962814184,India
2020-10-19,58224.192524084756,50781.644085770495,65550.35346665765,India
2020-10-20,57281.348350439104,49575.79925632435,64671.63201807962,India
2020-10-21,56558.866265534656,48634.06940937257,64197.68143044279,India
2020-10-22,55728.94198562394,48333.427445050336,63481.552400153574,India
2020-10-23,54807.75434361416,47060.63030973675,62216.61534701799,India
2020-10-24,54322.2431401281,46446.0057599497,62097.870212397305,India
2020-10-25,53721.28270287692,45337.91985830682,61099.23807493314,India
2020-10-26,53071.66264762497,45665.76898917362,60733.1159589154,India
2020-10-27,52350.90291205843,44481.65643374535,59607.015291351316,India
2020-10-28,51786.61392357408,44242.72466519393,59366.669277172725,India
2020-10-29,51067.06435406001,43515.06574513294,58975.34623805518,India
2020-10-30,50211.91427995303,42536.134253729404,57599.13584920239,India
2020-10-31,49731.31456798796,42049.22762669684,56972.19598051591,India
2020-11-01,49105.30914009141,42018.91484958746,56622.955638065,India
2020-11-02,48406.98098812848,41094.17896057533,56099.18462219361,India
2020-11-03,47625.32260860287,40248.73779715183,55264.69447494663,India
2020-11-04,46989.42612335608,39593.407549685784,54091.95774508217,India
2020-11-05,46213.53666418794,38214.00551981511,54003.99872414882,India
2020-11-06,45329.1495039673,37397.22157649144,54035.42469567775,India
2020-11-07,44836.06351676262,37036.679653587285,52284.619502499634,India
2020-11-08,44249.684690972615,36785.9475996606,51058.19869968498,India
2020-11-09,43651.063049900564,36013.18544497432,51069.485873907455,India
2020-11-10,42753.798420457424,34878.53239908585,50844.643048517115,India
2020-11-11,42071.71178907135,34718.15230259752,49863.26562000312,India
2020-11-12,41339.29137749273,33923.6429366081,48655.94618553395,India
2020-11-13,40590.381495930764,33188.620812841924,47934.590877430215,India
2020-11-14,40286.153917368916,33014.864017018415,47868.75359976068,India
2020-11-15,39971.85577930352,32660.01784895379,47130.54899093959,India
2020-11-16,39715.93317950285,32130.87869748506,47439.374424044734,India
2020-11-17,39508.275139677884,31430.914705789426,47167.565445458225,India
2020-11-18,39538.61433693801,32242.906082662812,47470.55339714077,India
2020-11-19,39551.506908035895,31994.359632030206,46729.2895116976,India
2020-11-20,39560.42802685824,31277.622183874355,46946.99389705962,India
2020-11-21,39961.23233638102,32471.294021848767,47481.05404148447,India
2020-11-22,40323.66731935558,32563.065051449168,48000.177614016684,India
2020-11-23,40688.39653988898,32550.07042582236,47757.53564765141,India
